playlist_id,playlist_name,followers,snapshot_date
id_0001,playlist 0001,20331,2022-01-31
id_0002,playlist 0002,52667,2022-01-31
id_0003,playlist 0003,6187,2022-01-31
id_0004,playlist 0004,39773,2022-01-31
id_0005,playlist 0005,36111,2022-01-31
id_0006,playlist 0006,29346,2022-01-31
id_0007,playlist 0007,50976,2022-01-31
id_0008,playlist 0008,5678,2022-01-31
id_0009,playlist 0009,18013,2022-01-31
id_0010,playlist 0010,46580,2022-01-31
id_0011,playlist 0011,18131,2022-01-31
id_0012,playlist 0012,4279,2022-01-31
id_0013,playlist 0013,29222,2022-01-31
id_0014,playlist 0014,58653,2022-01-31
id_0015,playlist 0015,51601,2022-01-31
id_0016,playlist 0016,54112,2022-01-31
id_0017,playlist 0017,18219,2022-01-31
id_0018,playlist 0018,19052,2022-01-31
id_0019,playlist 0019,9365,2022-01-31
id_0020,playlist 0020,7780,2022-01-31
id_0021,playlist 0021,16871,2022-01-31
id_0022,playlist 0022,52704,2022-01-31
id_0023,playlist 0023,41054,2022-01-31
id_0024,playlist 0024,27662,2022-01-31
id_0025,playlist 0025,29591,2022-01-31
id_0026,playlist 0026,7839,2022-01-31
id_0027,playlist 0027,31049,2022-01-31
id_0028,playlist 0028,30072,2022-01-31
id_0029,playlist 0029,48265,2022-01-31
id_0030,playlist 0030,15794,2022-01-31
id_0031,playlist 0031,54435,2022-01-31
id_0032,playlist 0032,24020,2022-01-31
id_0033,playlist 0033,3530,2022-01-31
id_0034,playlist 0034,38830,2022-01-31
id_0035,playlist 0035,34645,2022-01-31
id_0036,playlist 0036,56196,2022-01-31
id_0037,playlist 0037,35238,2022-01-31
id_0038,playlist 0038,44256,2022-01-31
id_0039,playlist 0039,14904,2022-01-31
id_0040,playlist 0040,10331,2022-01-31
id_0041,playlist 0041,39738,2022-01-31
id_0042,playlist 0042,29456,2022-01-31
id_0043,playlist 0043,49112,2022-01-31
id_0044,playlist 0044,30688,2022-01-31
id_0045,playlist 0045,45885,2022-01-31
id_0046,playlist 0046,59630,2022-01-31
id_0047,playlist 0047,59727,2022-01-31
id_0048,playlist 0048,5402,2022-01-31
id_0049,playlist 0049,58998,2022-01-31
id_0050,playlist 0050,29529,2022-01-31
